cost_id,movement_id,route_id,vessel_key,time_key,daily_demurrage_cost,fuel_cost_per_km,perishability_loss_rate,alternative_port_cost
COST_MOV_00074,MOV_00074,R_399,28,2024050609,32237.28,32.67,0.0031,17057.45
COST_MOV_00075,MOV_00075,R_940,25,2024071204,32019.87,25.91,0.0015,16711.07
COST_MOV_00076,MOV_00076,R_575,6,2024032709,41119.31,42.44,0.0013,11012.52
COST_MOV_00077,MOV_00077,R_894,2,2024120102,14466.04,19.66,0.0025,8568.86
COST_MOV_00078,MOV_00078,R_393,62,2024020501,42094.59,18.55,0.0029,8217.47
COST_MOV_00079,MOV_00079,R_370,20,2024020614,47842.4,24.82,0.0034,18139.98
COST_MOV_00080,MOV_00080,R_487,77,2024101102,18018.84,20.53,0.0048,8159.31
COST_MOV_00081,MOV_00081,R_312,76,2024102905,19245.55,29.37,0.0039,18295.96
COST_MOV_00082,MOV_00082,R_884,81,2024030817,49171.17,44.66,0.0036,12477.1
COST_MOV_00083,MOV_00083,R_354,1,2024022105,20436.82,27.73,0.0004,5348.64
COST_MOV_00084,MOV_00084,R_440,37,2024071516,24142.6,44.97,0.0008,16146.0
COST_MOV_00085,MOV_00085,R_350,15,2024051501,37811.67,18.42,0.0045,14908.02
COST_MOV_00086,MOV_00086,R_901,22,2024021817,36210.08,15.77,0.0028,17216.84
COST_MOV_00087,MOV_00087,R_994,60,2024102619,53448.53,39.1,0.0023,10153.39
COST_MOV_00088,MOV_00088,R_720,11,2024120302,46619.31,43.95,0.0026,12144.65
COST_MOV_00089,MOV_00089,R_256,30,2024011815,41207.89,41.91,0.0048,13187.57
COST_MOV_00090,MOV_00090,R_793,6,2024070223,58506.48,41.15,0.0037,5144.29
COST_MOV_00091,MOV_00091,R_911,75,2024070821,58835.68,41.59,0.0037,7627.9
COST_MOV_00092,MOV_00092,R_598,42,2024100518,42695.44,29.69,0.0007,6749.27
COST_MOV_00093,MOV_00093,R_283,52,2024071518,30022.21,29.86,0.0003,7420.58
COST_MOV_00094,MOV_00094,R_325,99,2024080816,23417.64,16.35,0.0008,18084.7
COST_MOV_00095,MOV_00095,R_148,7,2024111109,37321.28,40.96,0.0034,17609.67
COST_MOV_00096,MOV_00096,R_237,35,2024020505,20730.62,28.2,0.0032,15304.89
COST_MOV_00097,MOV_00097,R_424,81,2024032321,33986.69,41.13,0.0031,13197.61
COST_MOV_00098,MOV_00098,R_183,29,2024100512,57650.32,17.34,0.0027,18642.15
COST_MOV_00099,MOV_00099,R_474,92,2024041502,20759.62,18.31,0.001,17847.54
COST_MOV_00100,MOV_00100,R_668,59,2024111808,45145.68,37.99,0.0026,19201.92
COST_MOV_00101,MOV_00101,R_754,36,2024040304,16777.5,20.92,0.0031,12775.0
COST_MOV_00102,MOV_00102,R_586,37,2024070109,13091.26,20.03,0.002,7552.2
COST_MOV_00103,MOV_00103,R_440,69,2024041110,32988.24,32.8,0.0047,9712.02
COST_MOV_00104,MOV_00104,R_371,90,2024080716,17015.76,42.44,0.0031,16053.51
COST_MOV_00105,MOV_00105,R_218,61,2024080505,21269.42,29.39,0.0002,19327.29
COST_MOV_00106,MOV_00106,R_774,5,2024041320,17700.62,40.63,0.0041,13293.1
COST_MOV_00107,MOV_00107,R_926,68,2024102713,13454.72,43.83,0.0014,6943.97
COST_MOV_00108,MOV_00108,R_179,61,2024041509,16090.13,16.23,0.0001,8650.45
COST_MOV_00109,MOV_00109,R_530,87,2024022419,19873.62,23.42,0.0027,7444.45
COST_MOV_00110,MOV_00110,R_379,5,2024112902,22593.8,43.02,0.003,7271.74
COST_MOV_00111,MOV_00111,R_144,12,2024060407,17496.63,43.77,0.0036,5376.49
COST_MOV_00112,MOV_00112,R_527,89,2024102921,17330.49,21.97,0.0043,18585.72
COST_MOV_00113,MOV_00113,R_406,56,2024090117,49150.09,20.15,0.0011,13603.19
COST_MOV_00114,MOV_00114,R_494,11,2024042601,54248.69,40.99,0.0024,10018.5
COST_MOV_00115,MOV_00115,R_990,60,2024040716,49373.1,33.94,0.0045,17962.54
COST_MOV_00116,MOV_00116,R_234,87,2024111314,20341.79,26.35,0.0041,14313.51
COST_MOV_00117,MOV_00117,R_541,55,2024072305,42152.07,18.66,0.0021,16038.99
COST_MOV_00118,MOV_00118,R_721,31,2024112520,14496.45,22.14,0.0027,19955.1
COST_MOV_00119,MOV_00119,R_705,51,2024011523,48878.93,40.56,0.0039,6306.73
COST_MOV_00120,MOV_00120,R_639,96,2024020311,44275.46,28.54,0.0007,6058.27
COST_MOV_00121,MOV_00121,R_426,82,2024082812,31057.55,32.25,0.0031,18556.48
COST_MOV_00122,MOV_00122,R_609,13,2024040308,30244.7,22.88,0.0017,17736.42
COST_MOV_00123,MOV_00123,R_369,17,2024090601,39136.44,26.77,0.0013,14959.43
COST_MOV_00124,MOV_00124,R_856,47,2024033105,43385.7,34.9,0.0011,15181.82
COST_MOV_00125,MOV_00125,R_872,96,2024112422,41836.98,17.98,0.0023,19641.83
COST_MOV_00126,MOV_00126,R_936,93,2024060300,43189.86,15.82,0.0028,17072.46
COST_MOV_00127,MOV_00127,R_713,2,2024030215,14297.89,33.41,0.0016,18097.33
COST_MOV_00128,MOV_00128,R_355,49,2024062723,41524.75,31.96,0.0011,19466.01
COST_MOV_00129,MOV_00129,R_997,72,2024011802,42869.1,28.51,0.0031,13627.78
COST_MOV_00130,MOV_00130,R_218,39,2024111222,16767.97,27.0,0.0029,7057.8
COST_MOV_00131,MOV_00131,R_592,13,2024120207,55306.38,29.52,0.003,16373.8
COST_MOV_00132,MOV_00132,R_605,96,2024101302,30995.9,27.04,0.003,15675.29
COST_MOV_00133,MOV_00133,R_422,5,2024100514,12265.71,30.17,0.0005,15504.38
COST_MOV_00134,MOV_00134,R_849,88,2024090414,56949.67,30.64,0.0034,9936.41
COST_MOV_00135,MOV_00135,R_953,16,2024070708,54625.28,28.0,0.0018,18207.6
COST_MOV_00136,MOV_00136,R_192,43,2024011513,50384.4,39.78,0.0025,5147.88
COST_MOV_00137,MOV_00137,R_841,28,2024052110,42518.63,19.71,0.0007,18195.65
COST_MOV_00138,MOV_00138,R_480,19,2024010222,48478.15,43.34,0.0022,6328.17
COST_MOV_00139,MOV_00139,R_222,2,2024011814,11500.59,22.54,0.0025,7570.23
COST_MOV_00140,MOV_00140,R_909,17,2024063003,32637.77,15.47,0.0049,11684.76
COST_MOV_00141,MOV_00141,R_900,76,2024090403,14152.97,30.52,0.0013,16894.39
COST_MOV_00142,MOV_00142,R_461,59,2024122123,30666.74,36.75,0.0031,9864.37
COST_MOV_00143,MOV_00143,R_456,14,2024101800,30515.42,17.86,0.0041,13063.82
COST_MOV_00144,MOV_00144,R_837,17,2024041106,35371.81,28.18,0.0042,13750.07
COST_MOV_00145,MOV_00145,R_901,59,2024122804,34794.62,15.35,0.0029,18896.21
COST_MOV_00146,MOV_00146,R_723,58,2024052618,50235.49,24.76,0.0007,15790.15
COST_MOV_00147,MOV_00147,R_623,55,2024030521,33336.04,18.54,0.0006,16403.62
COST_MOV_00148,MOV_00148,R_941,12,2024111918,14974.75,26.38,0.0008,15866.56
COST_MOV_00149,MOV_00149,R_163,8,2024032919,15216.68,22.93,0.0019,5047.79
COST_MOV_00150,MOV_00150,R_751,97,2024082909,55779.14,42.13,0.0006,16118.55
COST_MOV_00151,MOV_00151,R_157,14,2024080107,59968.46,34.02,0.0021,8301.12
COST_MOV_00152,MOV_00152,R_980,72,2024031421,50924.49,32.38,0.0012,11844.22
COST_MOV_00153,MOV_00153,R_263,85,2024011822,39094.9,23.84,0.0039,19749.11
COST_MOV_00154,MOV_00154,R_874,45,2024072922,17728.04,33.07,0.0042,18280.35
COST_MOV_00155,MOV_00155,R_456,82,2024040620,32677.6,16.27,0.0003,6228.22
COST_MOV_00156,MOV_00156,R_415,21,2024110516,13372.9,15.65,0.0002,16708.75
COST_MOV_00157,MOV_00157,R_379,20,2024022723,36769.68,36.57,0.0013,19771.4
COST_MOV_00158,MOV_00158,R_313,78,2024101611,44308.16,26.35,0.0037,8342.11
COST_MOV_00159,MOV_00159,R_999,37,2024102011,20059.76,15.95,0.0017,9307.97
COST_MOV_00160,MOV_00160,R_925,77,2024053012,22864.65,25.06,0.0006,15457.27
COST_MOV_00161,MOV_00161,R_230,42,2024062310,49528.9,15.88,0.0043,8999.64
COST_MOV_00162,MOV_00162,R_773,30,2024122913,30218.79,31.53,0.001,12928.56
COST_MOV_00163,MOV_00163,R_321,3,2024012921,52496.39,21.14,0.0002,6503.15
COST_MOV_00164,MOV_00164,R_741,82,2024100302,46749.87,22.02,0.0012,15003.68
COST_MOV_00165,MOV_00165,R_822,47,2024111002,35905.02,23.19,0.0026,6444.49
COST_MOV_00166,MOV_00166,R_410,51,2024122316,48457.69,35.06,0.0016,12809.98
COST_MOV_00167,MOV_00167,R_309,82,2024022203,48176.28,40.05,0.0012,7316.75
COST_MOV_00168,MOV_00168,R_747,14,2024041019,39430.6,16.26,0.0009,6204.46
COST_MOV_00169,MOV_00169,R_519,99,2024022110,17351.48,35.55,0.0013,17994.02
COST_MOV_00170,MOV_00170,R_591,41,2024080815,55383.88,31.13,0.0043,10394.62
COST_MOV_00171,MOV_00171,R_318,8,2024070612,21341.31,15.04,0.0001,10892.06
COST_MOV_00172,MOV_00172,R_648,10,2024090817,14503.15,28.23,0.0037,7536.69
COST_MOV_00173,MOV_00173,R_823,75,2024091911,55468.61,27.21,0.0018,16980.31
COST_MOV_00174,MOV_00174,R_294,78,2024050812,33203.32,39.95,0.0049,13289.18
COST_MOV_00175,MOV_00175,R_870,11,2024082210,45248.56,40.1,0.0043,12552.43
COST_MOV_00176,MOV_00176,R_520,67,2024102623,42421.88,35.85,0.004,10530.7
COST_MOV_00177,MOV_00177,R_318,77,2024081823,14463.49,40.34,0.0023,12848.79
COST_MOV_00178,MOV_00178,R_860,33,2024092021,53536.73,30.46,0.0005,9229.18
COST_MOV_00179,MOV_00179,R_839,75,2024081513,54916.97,43.16,0.0049,8747.37
COST_MOV_00180,MOV_00180,R_167,77,2024092413,17713.98,16.08,0.002,15468.16
COST_MOV_00181,MOV_00181,R_900,86,2024081205,10975.03,44.15,0.0041,18455.44
COST_MOV_00182,MOV_00182,R_136,86,2024030419,22319.96,44.56,0.0023,11577.53
COST_MOV_00183,MOV_00183,R_611,99,2024052605,14338.2,22.87,0.0025,16726.67
COST_MOV_00184,MOV_00184,R_496,99,2024031001,18407.09,34.27,0.0035,9649.72
COST_MOV_00185,MOV_00185,R_142,49,2024033011,48061.92,44.73,0.0049,11725.07
COST_MOV_00186,MOV_00186,R_853,57,2024042300,30822.0,38.25,0.0049,9836.96
COST_MOV_00187,MOV_00187,R_905,58,2024071312,56343.18,33.25,0.0047,8778.08
COST_MOV_00188,MOV_00188,R_239,87,2024051210,21145.09,35.76,0.0028,16549.01
COST_MOV_00189,MOV_00189,R_612,68,2024091716,17381.9,42.94,0.0016,18984.41
COST_MOV_00190,MOV_00190,R_173,83,2024061916,52673.46,36.28,0.0015,7364.21
COST_MOV_00191,MOV_00191,R_522,37,2024121804,13469.4,16.17,0.0026,12234.58
COST_MOV_00192,MOV_00192,R_855,29,2024102515,38602.04,37.16,0.0026,17010.41
COST_MOV_00193,MOV_00193,R_627,48,2024092715,20217.15,43.6,0.0016,8106.26
COST_MOV_00194,MOV_00194,R_399,84,2024030815,16993.32,25.27,0.0038,7935.03
COST_MOV_00195,MOV_00195,R_512,18,2024111812,56243.67,16.93,0.0023,10336.23
COST_MOV_00196,MOV_00196,R_941,28,2024011323,35224.62,43.09,0.0002,10143.6
COST_MOV_00197,MOV_00197,R_616,31,2024031621,13856.22,23.68,0.004,5183.17
COST_MOV_00198,MOV_00198,R_531,15,2024110801,59940.4,23.49,0.0036,16517.3
COST_MOV_00199,MOV_00199,R_448,19,2024061403,57651.11,30.41,0.0048,15685.98
COST_MOV_00200,MOV_00200,R_800,86,2024050720,24565.67,21.75,0.0042,5038.85
COST_MOV_00201,MOV_00201,R_308,71,2024121208,50486.31,29.44,0.0029,9471.26
COST_MOV_00202,MOV_00202,R_579,96,2024091120,59409.71,42.81,0.0046,10549.37
COST_MOV_00203,MOV_00203,R_513,95,2024031118,52521.34,38.72,0.0036,11592.24
COST_MOV_00204,MOV_00204,R_434,60,2024042912,57501.23,34.14,0.0019,11828.88
COST_MOV_00205,MOV_00205,R_462,38,2024110810,54870.43,21.34,0.0005,11280.16
COST_MOV_00206,MOV_00206,R_132,51,2024073016,52484.89,20.88,0.0017,7750.8
COST_MOV_00207,MOV_00207,R_485,46,2024051011,32047.62,35.69,0.0017,13973.66
COST_MOV_00208,MOV_00208,R_138,52,2024090805,45738.92,25.27,0.0022,8090.73
COST_MOV_00209,MOV_00209,R_968,64,2024120417,17768.65,27.08,0.0032,19245.92
COST_MOV_00210,MOV_00210,R_115,56,2024101619,53788.78,17.59,0.0016,11405.75
COST_MOV_00211,MOV_00211,R_529,85,2024022415,47742.75,19.27,0.0026,10286.04
COST_MOV_00212,MOV_00212,R_952,58,2024103000,36968.3,26.09,0.0037,8207.9
COST_MOV_00213,MOV_00213,R_896,8,2024070610,12419.35,20.52,0.0049,9928.94
COST_MOV_00214,MOV_00214,R_944,19,2024041905,43306.79,28.23,0.0031,5105.87
COST_MOV_00215,MOV_00215,R_571,47,2024061002,49859.82,39.11,0.0007,8848.84
COST_MOV_00216,MOV_00216,R_881,48,2024110303,18602.22,31.47,0.0002,10611.0
COST_MOV_00217,MOV_00217,R_585,36,2024080214,20916.7,36.05,0.002,8551.13
COST_MOV_00218,MOV_00218,R_855,16,2024092104,43318.05,16.72,0.0038,19717.16
COST_MOV_00219,MOV_00219,R_834,63,2024071322,44173.52,32.65,0.0034,5580.02
COST_MOV_00220,MOV_00220,R_751,88,2024103020,51622.34,25.2,0.0037,7379.28
COST_MOV_00221,MOV_00221,R_290,21,2024071705,15523.32,30.64,0.0038,18539.33
COST_MOV_00222,MOV_00222,R_934,16,2024121307,55522.86,42.7,0.0043,12581.8
COST_MOV_00223,MOV_00223,R_250,74,2024090308,57197.33,38.21,0.0047,11610.32
COST_MOV_00224,MOV_00224,R_368,40,2024022820,59122.95,17.6,0.0034,6803.98
COST_MOV_00225,MOV_00225,R_907,10,2024100612,21076.38,37.37,0.0023,15216.31
COST_MOV_00226,MOV_00226,R_694,17,2024121904,34831.4,40.48,0.0047,12748.3
COST_MOV_00227,MOV_00227,R_632,65,2024032902,18305.29,44.99,0.0048,17696.13
COST_MOV_00228,MOV_00228,R_964,42,2024042209,41495.27,30.03,0.0047,19728.54
COST_MOV_00229,MOV_00229,R_577,33,2024071221,55422.33,20.83,0.0033,16683.67
COST_MOV_00230,MOV_00230,R_682,65,2024123004,13468.41,34.86,0.0039,16738.67
COST_MOV_00231,MOV_00231,R_943,6,2024081811,55722.98,32.33,0.0012,8964.44
COST_MOV_00232,MOV_00232,R_646,27,2024062916,24602.27,41.09,0.0043,11455.74
COST_MOV_00233,MOV_00233,R_316,39,2024071617,15912.49,30.83,0.004,13466.33
COST_MOV_00234,MOV_00234,R_886,8,2024021919,20342.03,18.27,0.0034,10542.23
COST_MOV_00235,MOV_00235,R_455,92,2024040801,19511.34,27.94,0.0003,14297.46
COST_MOV_00236,MOV_00236,R_329,72,2024090922,50702.68,21.77,0.0045,15559.35
COST_MOV_00237,MOV_00237,R_707,7,2024040604,39541.06,34.8,0.0023,5366.91
COST_MOV_00238,MOV_00238,R_757,74,2024041900,52621.51,44.28,0.0014,13266.78
COST_MOV_00239,MOV_00239,R_160,40,2024111416,47332.88,38.7,0.0025,12377.09
COST_MOV_00240,MOV_00240,R_854,75,2024061308,41011.68,27.79,0.0046,8887.21
COST_MOV_00241,MOV_00241,R_863,69,2024111706,57886.43,17.5,0.0005,15545.08
COST_MOV_00242,MOV_00242,R_984,47,2024090616,36648.23,40.96,0.0007,7386.92
COST_MOV_00243,MOV_00243,R_968,50,2024071600,21178.75,33.45,0.0043,18303.88
COST_MOV_00244,MOV_00244,R_457,13,2024032202,59212.3,31.81,0.0046,12886.73
COST_MOV_00245,MOV_00245,R_698,78,2024040811,56088.57,20.76,0.0018,18809.68
COST_MOV_00246,MOV_00246,R_889,67,2024081508,56225.64,30.55,0.0007,12062.7
COST_MOV_00247,MOV_00247,R_162,51,2024080510,33060.33,40.1,0.0004,18061.15
COST_MOV_00248,MOV_00248,R_664,63,2024121323,30984.42,22.49,0.0045,10015.42
COST_MOV_00249,MOV_00249,R_708,75,2024031519,54255.94,31.52,0.0004,13038.95
COST_MOV_00250,MOV_00250,R_529,84,2024111923,14950.05,29.21,0.0042,5590.35
COST_MOV_00251,MOV_00251,R_951,68,2024112323,15390.13,18.05,0.0013,17180.67
COST_MOV_00252,MOV_00252,R_645,74,2024061408,56792.5,41.71,0.0042,18625.47
COST_MOV_00253,MOV_00253,R_910,89,2024041309,12824.68,26.76,0.003,19123.07
COST_MOV_00254,MOV_00254,R_447,18,2024021212,48805.5,42.07,0.0013,11387.32
COST_MOV_00255,MOV_00255,R_819,23,2024091405,45714.19,39.61,0.0039,19628.25
COST_MOV_00256,MOV_00256,R_856,62,2024062911,34487.05,27.3,0.0018,13406.47
COST_MOV_00257,MOV_00257,R_831,91,2024072204,52561.67,23.73,0.0025,8018.84
COST_MOV_00258,MOV_00258,R_498,16,2024070516,58677.21,32.58,0.0032,14954.9
COST_MOV_00259,MOV_00259,R_107,38,2024082314,56743.23,28.84,0.0017,17932.11
COST_MOV_00260,MOV_00260,R_401,62,2024062401,42385.66,22.01,0.0046,12734.04
COST_MOV_00261,MOV_00261,R_467,14,2024070410,38290.62,18.08,0.0025,15504.13
COST_MOV_00262,MOV_00262,R_672,82,2024122812,39372.97,23.66,0.0014,15505.66
COST_MOV_00263,MOV_00263,R_456,71,2024040320,52792.02,39.41,0.0029,11295.17
COST_MOV_00264,MOV_00264,R_608,84,2024112017,11709.24,40.83,0.0046,10628.13
COST_MOV_00265,MOV_00265,R_982,74,2024030201,33331.04,36.92,0.0042,13082.57
COST_MOV_00266,MOV_00266,R_544,23,2024042912,46660.07,28.88,0.0009,12933.96
COST_MOV_00267,MOV_00267,R_860,38,2024050704,51386.32,35.99,0.0037,7014.38
COST_MOV_00268,MOV_00268,R_492,59,2024081617,59323.53,44.01,0.001,19207.38
COST_MOV_00269,MOV_00269,R_154,35,2024121005,19576.66,38.57,0.0025,12890.47
COST_MOV_00270,MOV_00270,R_199,24,2024062415,17060.62,37.55,0.0046,13675.7
COST_MOV_00271,MOV_00271,R_187,79,2024051120,53563.52,15.16,0.0042,11130.3
COST_MOV_00272,MOV_00272,R_222,86,2024022905,16595.13,18.53,0.0035,5764.93
COST_MOV_00273,MOV_00273,R_287,50,2024010515,11501.49,42.93,0.0039,12651.73
COST_MOV_00274,MOV_00274,R_529,84,2024010819,22617.72,40.4,0.001,14580.17
COST_MOV_00275,MOV_00275,R_615,88,2024041900,52745.89,43.11,0.0006,18186.43
COST_MOV_00276,MOV_00276,R_109,38,2024032103,39635.84,18.52,0.0029,10628.3
COST_MOV_00277,MOV_00277,R_317,78,2024110614,44751.12,33.72,0.0042,8194.04
COST_MOV_00278,MOV_00278,R_888,88,2024052902,48738.22,34.94,0.0019,7792.25
COST_MOV_00279,MOV_00279,R_331,73,2024090323,23994.95,43.53,0.0009,15611.94
COST_MOV_00280,MOV_00280,R_932,42,2024041207,30150.47,25.74,0.0012,15843.63
COST_MOV_00281,MOV_00281,R_558,66,2024112916,50080.08,26.45,0.0021,5988.16
COST_MOV_00282,MOV_00282,R_226,60,2024020909,43930.58,39.13,0.0012,12278.51
COST_MOV_00283,MOV_00283,R_735,28,2024010301,41707.3,41.17,0.0023,8851.63
COST_MOV_00284,MOV_00284,R_374,61,2024021103,20893.16,42.7,0.0037,6644.19
COST_MOV_00285,MOV_00285,R_267,49,2024101323,41371.17,40.02,0.0042,7463.61
COST_MOV_00286,MOV_00286,R_684,45,2024033118,10373.12,41.25,0.0019,6798.74
COST_MOV_00287,MOV_00287,R_385,97,2024060100,52544.84,33.83,0.0003,17683.99
COST_MOV_00288,MOV_00288,R_751,30,2024122903,57275.21,25.8,0.0004,14429.31
COST_MOV_00289,MOV_00289,R_146,85,2024031800,55671.31,23.89,0.0014,17339.17
COST_MOV_00290,MOV_00290,R_372,13,2024052016,52613.83,18.75,0.0042,8089.15
COST_MOV_00291,MOV_00291,R_532,6,2024061601,49225.49,21.66,0.0046,13253.06
COST_MOV_00292,MOV_00292,R_906,65,2024020812,22921.11,36.89,0.0026,15152.08
COST_MOV_00293,MOV_00293,R_252,39,2024080621,14727.41,28.92,0.0029,15180.48
COST_MOV_00294,MOV_00294,R_683,72,2024070620,37601.08,17.76,0.0006,11108.39
COST_MOV_00295,MOV_00295,R_719,64,2024101815,10636.51,39.71,0.0016,10575.2
